"%1 orders have not been updated","%1 orders have not been updated"
"%1 orders have been successfully updated","%1 orders have been successfully updated"
"Your form has been expired","Your form has been expired"
"This product is not available for borrow home","This product is not available for borrow home"
"You added %1 to your borrow home list.","You added %1 to your borrow home list."
"We can't add this item to your borrow home list right now.","We can't add this item to your borrow home list right now."
"Internal server error","Internal server error"
"Your borrow home cart is empty","Your borrow home cart is empty"
"We can't create your order right now.","We can't create your order right now."
"Provided email is invalid","Provided email is invalid"
"Field %1 is required","Field %1 is required"
"The data you provided is invalid","The data you provided is invalid"
"Extra Optical","Extra Optical"
"Delivery Note","Delivery Note"
"This product is already in your borrow home list","This product is already in your borrow home list"
"You can select only %1 items for borrow home","You can select only %1 items for borrow home"
"Print Home Try Labels","Print Home Try Labels"
"Items to borrow home:","Items to borrow home:"
"Your items","Your items"
"Delete item","Delete item"
"add another","add another"
"Borrow home","Borrow home"
try,try
Extraoptical,Extraoptical
"Borrow Home","Borrow Home"
General,General
"Free Place Image","Free Place Image"
